symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,834.0,837.68,832.625,832.625,685.153,143625
HSPX.LSE,d,831.5,832.93,828.0,828.0,681.3472,3686
HSPX.LSE,d,821.5,822.94,821.5,822.625,676.9242,4376
HSPX.LSE,d,822.19,822.19,819.5,819.5,674.3526,294
HSPX.LSE,d,816.5,818.18,811.75,815.75,671.2668,60445
HSPX.LSE,d,815.75,816.96,810.2,811.875,668.0782,61828
HSPX.LSE,d,814.5,817.0,813.95,814.625,670.3411,23972
HSPX.LSE,d,820.75,820.75,817.0,819.375,674.2498,12195
HSPX.LSE,d,821.5,824.25,817.0,817.0,672.2954,132783
HSPX.LSE,d,808.813,810.374,808.2075,808.2075,665.0602,17755
HSPX.LSE,d,808.818,808.818,799.715,801.7363,659.7352,50007
HSPX.LSE,d,795.003,798.158,794.853,797.9963,656.6576,43268
HSPX.LSE,d,792.698,792.775,791.1775,791.4413,651.2636,221721
HSPX.LSE,d,788.633,790.117,786.315,788.7838,649.0768,19175
HSPX.LSE,d,785.75,793.038,785.75,792.795,652.3776,684631
HSPX.LSE,d,794.255,796.27,790.0,791.1525,651.026,103313
HSPX.LSE,d,789.683,789.683,786.495,786.9575,647.574,43285
HSPX.LSE,d,787.155,791.805,786.03,791.5575,651.3592,36652
HSPX.LSE,d,791.115,795.32,791.115,792.0038,651.7265,24002
HSPX.LSE,d,789.235,794.735,789.235,794.735,653.9739,41001
HSPX.LSE,d,794.325,798.55,793.678,795.1638,654.3268,45736
HSPX.LSE,d,788.343,794.2375,787.528,794.2375,653.5646,54607
HSPX.LSE,d,799.168,804.345,797.4,804.345,661.8819,17787
HSPX.LSE,d,803.395,809.9075,803.395,809.9075,666.4591,36225
HSPX.LSE,d,800.753,805.57,797.338,799.5613,657.9454,34122
HSPX.LSE,d,811.278,811.278,802.78,802.92,660.7092,72702
HSPX.LSE,d,803.62,804.673,801.011,803.95,661.5568,93777
HSPX.LSE,d,810.03,812.285,808.39,812.0063,668.1862,35630
HSPX.LSE,d,820.063,822.3,819.01,819.685,674.5049,117090
HSPX.LSE,d,828.0,829.68,822.962,828.0988,681.4285,12955
HSPX.LSE,d,827.858,836.1,827.858,835.365,687.4077,167580
HSPX.LSE,d,835.845,839.4988,835.4,839.4988,690.8093,202769
HSPX.LSE,d,837.2,837.2,836.9838,836.9838,688.7398,1803
HSPX.LSE,d,840.233,845.065,839.603,841.8275,692.7256,49997
HSPX.LSE,d,849.215,853.235,848.54,853.01,701.9275,14369
HSPX.LSE,d,856.97,856.97,840.5688,840.5688,691.6898,99330
HSPX.LSE,d,842.08,842.84,837.73,838.7175,690.1664,3284
HSPX.LSE,d,833.453,837.01,831.403,835.5775,687.5825,22763
HSPX.LSE,d,835.678,837.84,833.9713,833.9713,686.2608,99593
HSPX.LSE,d,822.948,827.83,822.948,825.7637,679.5069,20410
HSPX.LSE,d,821.588,823.47,820.3688,820.3688,675.0676,17361
HSPX.LSE,d,822.225,822.225,817.9,818.7625,673.7458,6677
HSPX.LSE,d,821.29,824.28,821.29,823.8813,677.9579,2459
HSPX.LSE,d,831.008,831.31,822.3338,822.3338,682.0139,204653
HSPX.LSE,d,820.688,823.325,818.64,823.325,682.836,18072
HSPX.LSE,d,829.593,830.335,822.8138,822.8138,682.412,69150
HSPX.LSE,d,817.918,823.8675,817.918,823.8675,683.2859,11341
HSPX.LSE,d,821.3,821.92,815.1363,815.1363,676.0446,1498789
HSPX.LSE,d,812.365,812.365,804.213,807.7025,669.8793,1828927
HSPX.LSE,d,800.233,805.8563,798.122,805.8563,668.3481,17980
HSPX.LSE,d,795.62,797.024,785.785,790.1588,655.3292,78837
HSPX.LSE,d,799.185,799.81,788.775,788.775,654.1815,121342
HSPX.LSE,d,785.992,786.25,782.74,782.74,649.1763,49923
HSPX.LSE,d,770.853,775.338,762.5138,762.5138,632.4014,42313
HSPX.LSE,d,772.608,772.608,752.6763,752.6763,624.2425,82465
HSPX.LSE,d,733.36,748.928,726.12,726.12,602.2177,113968
HSPX.LSE,d,722.0,725.1,711.165,712.9938,591.3313,269947
HSPX.LSE,d,694.693,710.32,675.725,710.32,589.1137,425766
HSPX.LSE,d,721.39,721.98,698.245,698.245,579.0992,326210
HSPX.LSE,d,710.723,711.5163,686.968,711.5163,590.1059,114594
HSPX.LSE,d,714.395,727.0,701.226,725.6663,601.8414,49484
HSPX.LSE,d,727.865,731.035,727.8375,727.8375,603.6421,39448
HSPX.LSE,d,730.66,730.9425,726.36,730.9425,606.2173,17994
HSPX.LSE,d,728.78,730.325,726.2775,726.2775,602.3483,21376
HSPX.LSE,d,701.09,716.68,694.7588,694.7588,576.2079,194508
HSPX.LSE,d,684.183,693.5,681.693,689.3775,571.7448,101639
HSPX.LSE,d,695.763,695.9,686.54,689.025,571.4524,42844
HSPX.LSE,d,691.5,696.055,688.3,692.3388,574.2008,5837
HSPX.LSE,d,698.583,715.41,698.583,713.5375,591.7822,160679
HSPX.LSE,d,721.0,721.908,719.2737,719.2737,596.5396,7977
HSPX.LSE,d,713.483,721.74,677.22,717.9325,595.4273,67407
HSPX.LSE,d,738.265,744.7875,738.0,744.7875,617.6998,14548
HSPX.LSE,d,748.997,753.65,746.13,753.65,625.0501,4961
HSPX.LSE,d,754.0,762.045,752.706,756.5675,627.4698,530254
HSPX.LSE,d,740.928,740.928,711.192,732.9575,607.8885,150142
HSPX.LSE,d,723.668,723.668,714.505,714.505,592.5846,212641
HSPX.LSE,d,719.293,722.9013,712.718,722.9013,599.5482,109232
HSPX.LSE,d,738.365,748.885,738.168,748.385,620.6835,64693
HSPX.LSE,d,757.143,757.143,747.26,750.3313,622.2977,21707
HSPX.LSE,d,743.95,744.15,734.2663,734.2663,608.9739,6477
HSPX.LSE,d,720.94,730.333,716.92,728.65,604.316,715396
HSPX.LSE,d,733.588,744.838,729.6925,739.0875,612.9725,110457
HSPX.LSE,d,739.535,751.473,739.488,750.3738,622.3329,71172
HSPX.LSE,d,757.223,760.648,755.98,759.9488,630.2741,49639
HSPX.LSE,d,767.25,771.365,764.598,767.0375,636.1532,306552
HSPX.LSE,d,764.04,766.42,763.41,764.965,634.4343,13772
HSPX.LSE,d,770.0,777.635,770.0,777.5688,644.8875,26651
HSPX.LSE,d,773.193,773.193,768.4225,768.4225,637.3019,14715
HSPX.LSE,d,740.653,743.275,737.95,738.7475,612.6905,8716
HSPX.LSE,d,727.185,738.975,725.6,737.7863,611.8933,33374
HSPX.LSE,d,743.08,744.4,738.6188,738.6188,612.5838,11091
HSPX.LSE,d,762.04,762.13,755.56,762.13,632.0831,11960
HSPX.LSE,d,752.865,759.34,752.835,752.9775,624.4923,17279
HSPX.LSE,d,745.6,751.5,740.628,744.5975,617.5423,7388
HSPX.LSE,d,739.615,747.26,735.69,738.36,612.3691,68713
HSPX.LSE,d,727.61,733.2688,727.61,733.2688,608.1467,47907
HSPX.LSE,d,709.553,715.528,705.34,713.605,591.8382,93479
HSPX.LSE,d,727.5,740.12,726.065,735.9175,610.3434,102538
HSPX.LSE,d,743.103,756.32,742.093,753.0525,624.5545,96109
HSPX.LSE,d,753.5,758.688,748.3913,748.3913,620.6887,10965
HSPX.LSE,d,753.688,763.268,753.688,762.1188,632.0738,928
HSPX.LSE,d,765.405,770.9,764.053,770.0175,638.6247,16425
HSPX.LSE,d,769.52,773.648,767.918,772.9025,641.0174,106389
HSPX.LSE,d,769.71,769.71,761.6725,761.6725,631.7037,23867
HSPX.LSE,d,773.17,774.31,767.9,771.7775,640.0844,26398
HSPX.LSE,d,784.448,784.5,771.03,772.8138,640.9438,17562
HSPX.LSE,d,763.103,773.105,761.43,773.105,641.1854,26156
HSPX.LSE,d,780.323,783.86,779.653,780.2113,647.0791,8828
HSPX.LSE,d,773.753,778.117,771.2475,771.2475,639.6448,13204
